dcp,status,exit_code,console_log,run_artifact_dir,optimizer_run_dir,token_usage_json,start_time,end_time
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/amd_mini-isp_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/amd_mini-isp_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/amd_mini-isp_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/amd_mini-isp_2025.1/dcp_optimizer_run-20260914_230008","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/amd_mini-isp_2025.1/dcp_optimizer_run-20260914_230008/token_usage.json","2026-09-14 23:00:07","2026-09-14 23:10:38"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/boom_soc_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/boom_soc_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/boom_soc_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/boom_soc_2025.1/dcp_optimizer_run-20260914_231038","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/boom_soc_2025.1/dcp_optimizer_run-20260914_231038/token_usage.json","2026-09-14 23:10:38","2026-09-14 23:39:26"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/corescore_500_mod_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/corescore_500_mod_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/corescore_500_mod_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/corescore_500_mod_2025.1/dcp_optimizer_run-20260914_233927","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/corescore_500_mod_2025.1/dcp_optimizer_run-20260914_233927/token_usage.json","2026-09-14 23:39:26","2026-09-14 23:52:02"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/finn_radioml_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/finn_radioml_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/finn_radioml_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/finn_radioml_2025.1/dcp_optimizer_run-20260914_235203","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/finn_radioml_2025.1/dcp_optimizer_run-20260914_235203/token_usage.json","2026-09-14 23:52:02","2026-09-15 00:00:30"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/ispd16_example2_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/ispd16_example2_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/ispd16_example2_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/ispd16_example2_2025.1/dcp_optimizer_run-20260915_000031","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/ispd16_example2_2025.1/dcp_optimizer_run-20260915_000031/token_usage.json","2026-09-15 00:00:30","2026-09-15 00:33:18"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/logicnets_jscl_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/logicnets_jscl_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/logicnets_jscl_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/logicnets_jscl_2025.1/dcp_optimizer_run-20260915_003319","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/logicnets_jscl_2025.1/dcp_optimizer_run-20260915_003319/token_usage.json","2026-09-15 00:33:18","2026-09-15 00:54:10"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/rosetta_3d-rendering_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_3d-rendering_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_3d-rendering_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_3d-rendering_2025.1/dcp_optimizer_run-20260915_005410","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_3d-rendering_2025.1/dcp_optimizer_run-20260915_005410/token_usage.json","2026-09-15 00:54:10","2026-09-15 01:08:59"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/rosetta_digit-recognition_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_digit-recognition_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_digit-recognition_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_digit-recognition_2025.1/dcp_optimizer_run-20260915_010859","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_digit-recognition_2025.1/dcp_optimizer_run-20260915_010859/token_usage.json","2026-09-15 01:08:59","2026-09-15 01:27:06"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/rosetta_optical-flow_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_optical-flow_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_optical-flow_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_optical-flow_2025.1/dcp_optimizer_run-20260915_012707","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_optical-flow_2025.1/dcp_optimizer_run-20260915_012707/token_usage.json","2026-09-15 01:27:06","2026-09-15 01:32:47"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/rosetta_spam-filter_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_spam-filter_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_spam-filter_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_spam-filter_2025.1/dcp_optimizer_run-20260915_013248","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260914_230007/rosetta_spam-filter_2025.1/dcp_optimizer_run-20260915_013248/token_usage.json","2026-09-15 01:32:47","2026-09-15 01:48:21"
